uberColorU uberColorG uberColorR uberColorI
2.250731 1.011354 0.4216728 0.3187904
1.528688 0.7396164 0.3866005 0.2172756
1.614521 0.8143787 0.3228569 0.2489281
1.376745 0.5447578 0.3024673 0.2409554
1.356455 0.947773 0.5036564 0.3574085
1.050833 0.3626366 0.2636681 0.08319664
1.767736 1.27137 0.4695778 0.3438377
1.941156 0.9488297 0.4415073 0.342741
1.114281 0.8075428 0.4238205 0.2254581
0.9523449 0.4323816 0.2215204 0.2002754
1.501781 0.7558975 0.3863373 0.2775707
1.799622 0.8636665 0.4100971 0.259716
1.673063 0.8707809 0.416625 0.3240652
1.186911 0.4566002 0.3139057 0.1426773
1.404549 0.7119637 0.3564205 0.2933235
1.783127 0.8633175 0.4868069 0.3212528
1.82799 0.8554916 0.4213562 0.2774639
1.990654 1.044508 0.439415 0.3099785
2.208801 1.060589 0.6058788 0.3710651
1.971586 0.9328175 0.4266129 0.3760891
1.540766 0.6999378 0.4111099 0.2269115
1.887445 0.9103451 0.3992634 0.305541
2.089666 0.9121361 0.3945026 0.3236084
1.933336 0.9906864 0.4247475 0.3449421
1.693693 0.8287582 0.4097233 0.3014402
1.891453 0.9189663 0.4790115 0.3609619
1.975758 0.9420948 0.4649715 0.3722801
0.8396778 0.3400269 0.1745319 0.1790714
1.163004 0.616991 0.3351421 0.2324657
1.906027 0.9706135 0.4302635 0.3569241
1.213579 0.5503216 0.3362198 0.1920128
1.798697 0.7502489 0.3445101 0.2839098
1.676447 0.7408199 0.3628044 0.2850266
1.782249 0.9300041 0.4405231 0.3338661
1.244846 0.6051521 0.3251648 0.273962
1.95241 0.9037285 0.4153786 0.3169155
0.9789944 0.51297 0.3398476 0.1633778
1.475773 0.8394814 0.4513969 0.2715111
1.609409 0.847868 0.4197111 0.3199453
1.105072 0.5382786 0.4273872 0.1655235
1.955486 1.113113 0.4579582 0.2238979
1.404823 0.6742649 0.3588295 0.2315102
1.412502 0.9314899 0.432169 0.2931881
1.042782 0.7171707 0.375145 0.1313057
1.515015 0.6873102 0.3540878 0.2778788
1.985489 1.127584 0.4595375 0.29562
1.653406 0.7284088 0.3612471 0.2775698
1.779192 0.9392223 0.4441986 0.4181442
1.601009 0.7910709 0.400959 0.2978506
1.189339 0.7272263 0.4135628 0.2546406
1.675741 1.070473 0.4661446 0.3247995
2.166389 1.166521 0.4821301 0.3859501
2.204716 1.094225 0.491354 0.2909813
2.104641 1.135046 0.4568481 0.3194885
2.734325 1.058239 0.4633026 0.2815647
1.109118 0.3767834 0.184679 0.04485703
1.249968 0.845314 0.4062958 0.264904
1.783791 0.8342571 0.3828754 0.2704887
1.986439 1.299984 0.4863815 0.2576504
1.961428 1.280218 0.4979019 0.3216991
1.539896 0.7569447 0.4659424 0.2744503
1.64011 0.8156271 0.4084396 0.2983227
1.839743 0.5442467 0.4103241 0.1195049
1.770443 0.9774265 0.3934975 0.3384819
1.816608 1.101576 0.4478436 0.3403358
1.75148 0.9778595 0.4213371 0.31917
1.785509 1.018667 0.4483166 0.4038277
1.02993 0.5608845 0.3461895 0.1973877
1.764734 0.8260689 0.3732281 0.2828598
1.381182 0.5009327 0.3039169 0.2139549
1.792877 0.966485 0.4587536 0.3270006
1.105921 0.4146976 0.2665443 0.1421127
2.035807 0.9578152 0.4820528 0.3838758
0.898056 0.1914539 0.2161789 0.004341125
1.13866 0.6066628 0.3690872 0.2538261
1.68169 1.260267 0.4991264 0.3127403
1.933817 0.8855877 0.4302368 0.2877159
1.873264 1.048676 0.4263382 0.3817959
1.636667 0.8491611 0.4840183 0.362751
1.69656 0.8494625 0.3963051 0.2567081
1.185127 0.7365036 0.484623 0.2466717
2.085474 0.9311771 0.4096489 0.3298531
1.023237 0.3630981 0.2773476 0.1010666
1.848394 1.051777 0.4508572 0.3901711
0.9491959 0.3180046 0.1328602 0.02927399
1.804199 1.10232 0.3921165 0.3589268
1.088009 0.4139595 0.3573551 0.1132164
1.166136 0.73489 0.4557991 0.2359104
1.707409 0.7151985 0.3750439 0.2407055
1.632135 0.8762245 0.3900356 0.2599573
1.091368 0.543272 0.2943878 0.242979
1.937307 0.9468899 0.4070702 0.3374634
1.95159 0.9930725 0.4202194 0.3308258
1.657 0.7598629 0.4418516 0.1980457
0.9838371 0.4758701 0.3333073 0.1588688
0.889246 0.8855953 0.4210777 0.2518749
1.704449 0.7270479 0.3467293 0.2819195
1.892933 0.9061623 0.3867226 0.3221664
1.874287 1.025366 0.4945354 0.3874836
1.471806 0.9581642 0.4658909 0.3111858
2.112896 1.046791 0.4014091 0.3954639
2.006456 0.6842766 0.3890743 0.203826
0.8019238 0.5678654 0.3453484 0.2698402
0.9365425 0.4382954 0.256424 0.1459999
1.308374 0.7886982 0.431263 0.2478104
0.980154 1.298433 0.2953796 0.2496452
1.002836 0.4455585 0.2868824 0.2192192
1.229305 0.4522743 0.2782555 0.1906567
1.292208 0.6020651 0.3640089 0.2646151
1.833599 0.8722916 0.4081116 0.2978516
1.073612 0.6268559 0.4475441 0.2257519
1.916256 0.9541702 0.3895435 0.3859501
-2.142618 4.098982 0.6270428 -0.6733017
1.661829 0.7610493 0.36619 0.2589989
3.12604 1.105793 0.3847332 0.3044395
1.778107 0.9099846 0.4095383 0.299015
1.694912 0.8594456 0.3951416 0.3212814
1.831982 0.9807529 0.3915367 0.2954197
1.222612 0.7188416 0.409338 0.2232838
1.860874 0.9178963 0.4160957 0.2996407
2.111803 1.254581 0.4602261 0.3272629
2.030018 0.9329128 0.4255028 0.2947102
2.062006 1.140285 0.4446602 0.3169918
1.922253 1.018839 0.4073277 0.329731
1.259226 0.5933304 0.4020977 0.1899567
1.89332 1.030664 0.5104656 0.3878307
1.946514 0.9938374 0.3960056 0.3768969
1.496891 0.7588367 0.3859272 0.3037529
1.379423 0.8512154 0.3790073 0.3278694
1.479786 1.167679 0.4590721 0.3198624
1.127962 0.4916191 0.3429356 0.174262
1.083463 0.4218931 0.2357664 0.163003
1.549942 0.9829082 0.4892654 0.3635578
1.804211 0.8298435 0.377512 0.3172369
1.36442 0.7163811 0.3253574 0.2274151
2.028196 1.11422 0.5011406 0.440464
1.290443 0.8874569 0.3968925 0.3037472
1.722738 0.9745293 0.3972588 0.3269577
1.509443 0.8197651 0.3800354 0.2932281
1.272587 0.7171574 0.3472137 0.2925262
2.007727 1.081867 0.4890709 0.4003334
1.90587 0.9450893 0.3588009 0.31987
1.465893 0.6278954 0.396492 0.2012615
2.180532 1.288433 0.4903431 0.3403568
1.917128 1.165567 0.4763622 0.3398724
1.33087 0.9310055 0.4398136 0.3691845
1.820982 0.992136 0.4675198 0.3390121
1.761084 1.011042 0.4155941 0.2799015
1.880295 0.9229603 0.4593678 0.3704166
1.091333 0.3771343 0.2023602 0.09438705
1.806198 1.130445 0.4493141 0.3235512
0.973217 0.3495235 0.3041382 0.0637722
1.686478 0.8902798 0.4083939 0.3166714
1.732868 0.9328403 0.3798771 0.3112907
1.878109 0.901722 0.3895378 0.3342743
1.866953 1.37989 0.4785423 0.339632
1.207914 0.9782028 0.5186958 0.1947975
1.796289 0.8871803 0.4157906 0.2897511
1.348373 0.6767464 0.399828 0.2525597
1.535681 0.854887 0.4613609 0.312047
1.841007 0.8584652 0.4136028 0.3124981
1.044567 0.6053295 0.3354912 0.186718
1.831694 0.8943901 0.4020824 0.3068085
1.929699 1.27696 0.5291309 0.3962345
1.248108 0.5444508 0.3099346 0.1210804
0.9214668 0.2933521 0.2890167 -0.001239777
1.426594 0.6522236 0.3720856 0.2515144
1.025097 0.3436184 0.1909027 0.1151991
1.872431 0.8563576 0.3748169 0.3050213
1.176119 0.5303993 0.3440857 0.2274494
1.129595 0.4719772 0.2792206 0.2032776
1.312014 0.7199154 0.4052353 0.2608509
2.143665 1.051014 0.4230022 0.3668156
1.898008 0.9130344 0.406105 0.304636
1.249943 0.7446632 0.3883038 0.3045254
1.865019 1.391844 0.5181923 0.28755
1.881552 1.216537 0.4710407 0.3237534
1.420237 0.7473793 0.3526058 0.2510433
1.787052 1.073618 0.4044075 0.3023415
0.9244461 0.4346104 0.2986832 0.1220951
1.137875 0.5212688 0.3974934 0.1118088
1.712938 0.8179789 0.37391 0.2568207
1.689608 0.877306 0.3716164 0.313879
2.078058 1.005913 0.4395618 0.3662109
1.562622 0.8331299 0.3856897 0.294035
1.886091 0.9956741 0.4044704 0.3389988
1.97851 1.106083 0.4718208 0.3346815
1.402527 0.8369732 0.437418 0.2971954
1.776073 1.090736 0.460434 0.3372822
1.252378 0.6624813 0.3423576 0.2835903
1.070724 0.3810425 0.2286873 0.1272125
1.07608 0.5538521 0.3719826 0.1928864
1.945824 1.239992 0.4886684 0.3312664
1.955841 1.1087 0.486208 0.3971577
1.996395 1.000561 0.5344353 0.3624249
2.104973 1.215347 0.5062141 0.3877907
1.967939 1.05138 0.4151344 0.3283043
1.92795 1.15877 0.4923725 0.3206539
1.143669 0.4306355 0.2362118 0.200449
1.286402 0.8591843 0.4413795 0.2426052
1.038513 0.4913273 0.2948895 0.1285439
1.964125 1.038006 0.4359665 0.3326693
1.234491 0.4918652 0.3260899 0.2290535
1.801073 0.9470234 0.3835106 0.2930374
1.198591 0.6838493 0.3523235 0.2271366
1.579479 0.688282 0.3567448 0.2455921
1.866035 0.9640923 0.3948555 0.3085842
1.266191 0.6694336 0.347353 0.2151432
1.65432 0.9911766 0.4081497 0.3401642
1.888096 1.024176 0.4282665 0.3667068
1.910418 0.8456383 0.3957291 0.2409077
1.901167 0.9413204 0.3775921 0.2736988
1.394341 0.7141132 0.3658695 0.1925383
2.144043 1.078693 0.4656372 0.2375164
1.2115 0.402895 0.2157364 0.07001305
1.077894 0.588623 0.3440895 0.1548615
1.3134 0.650341 0.4060078 0.2951431
1.875019 0.8592358 0.424798 0.2896643
1.93137 1.101366 0.4572792 0.3056011
1.785069 0.7959766 0.3681259 0.2976599
1.199215 0.5298214 0.2885513 0.167326
1.010683 0.421957 0.3633194 0.08567429
1.867409 1.099926 0.4368019 0.3118324
1.139977 0.4741669 0.2399597 0.1356716
2.205202 1.134176 0.4527512 0.3446293
1.880043 1.026489 0.386961 0.3081226
1.726467 1.06378 0.3881531 0.3296642
1.574745 0.8062363 0.4118042 0.3724728
1.226946 0.6633091 0.3965549 0.2374649
1.843588 1.090824 0.4712582 0.3281822
1.21077 0.4524403 0.2967911 0.1461163
1.988306 1.073687 0.4343834 0.3239288
1.851355 1.106901 0.4351711 0.3405437
1.183092 0.6939793 0.3711109 0.236002
1.771042 1.060997 0.3959446 0.3448048
1.465816 0.8390179 0.4814434 0.3176327
1.22765 0.717411 0.3881378 0.257225
1.079607 0.3447342 0.2063065 0.1033249
1.814268 1.194132 0.4978561 0.3708916
2.763784 0.9188175 0.4659405 0.3542385
1.252411 0.683197 0.4191437 0.2559853
1.714428 0.8798561 0.3702908 0.2993908
1.002661 0.5137291 0.2774162 0.1645393
1.965023 0.9974766 0.4420376 0.3442459
1.41114 0.6745071 0.3669395 0.2334995
1.948318 0.9334869 0.4396191 0.2847519
1.69508 1.164934 0.4389019 0.3226185
1.333427 0.6688194 0.355566 0.2332344
1.094755 0.4000454 0.2023888 0.1539764
1.384472 0.6748257 0.3782673 0.2239475
1.873875 1.018991 0.3916016 0.3429985
2.028606 1.084276 0.4823475 0.4001408
