SpecObjID ObjID Red zSpec extinctionU extinctionG extinctionR extinctionI extinctionZ uberColorU uberColorG uberColorR uberColorI ModelMagErr_U ModelMagErr_G ModelMagErr_R ModelMagErr_I ModelMagErr_Z
75094094258372608 587725074457821424 0 0.122409 0.290376 0.2136559 0.1549611 0.1175023 0.08331059 2.250731 1.011354 0.4216728 0.3187904 0.1777773 0.01221127 0.007622496 0.007319525 0.01743085
75094094254178304 587725074994757796 0 0.120437 0.3364649 0.2475677 0.1795567 0.1361524 0.09653377 1.528688 0.7396164 0.3866005 0.2172756 0.0777614 0.009189532 0.007019119 0.007001698 0.02190027
75094095407611904 587725075532284076 0 0.124385 0.7381868 0.5431508 0.3939383 0.2987115 0.2117902 1.614521 0.8143787 0.3228569 0.2489281 0.08872339 0.01061248 0.007232984 0.007577981 0.01516099
77628570884636672 587728947441959124 0 0.0369967 0.207945 0.153004 0.1109712 0.08414613 0.05966065 1.376745 0.5447578 0.3024673 0.2409554 0.0248491 0.004275727 0.003501979 0.003867141 0.009141891
76784279102685184 587728947439534384 0 0.155037 0.2700248 0.1986817 0.1441005 0.1092671 0.07747172 1.356455 0.947773 0.5036564 0.3574085 0.08722305 0.01306283 0.007930323 0.007872568 0.01730791
75375473697226752 587728947973128444 0 0.0891339 0.1849696 0.1360989 0.09871028 0.07484902 0.05306889 1.050833 0.3626366 0.2636681 0.08319664 0.06078959 0.00911762 0.008999193 0.009545367 0.03297551
76221191383154688 587728947975356562 0 0.192899 0.2082774 0.1532485 0.1111486 0.08428062 0.05975601 1.767736 1.27137 0.4695778 0.3438377 0.1658953 0.0130174 0.006879953 0.006190526 0.01543792
76784279895408640 587728947975946400 0 0.0898568 0.2709616 0.199371 0.1446005 0.1096462 0.07774049 1.941156 0.9488297 0.4415073 0.342741 0.2163457 0.01444953 0.009077642 0.008253366 0.02159012
76784278708420608 587728947976995029 0 0.221493 0.3169902 0.2332384 0.1691639 0.1282719 0.09094636 1.114281 0.8075428 0.4238205 0.2254581 0.1120754 0.01499856 0.01055084 0.009958436 0.02933202
77628570595229696 587728947979157541 0 0.0260359 0.2212657 0.1628052 0.1180799 0.08953641 0.06348243 0.9523449 0.4323816 0.2215204 0.2002754 0.01324083 0.003298303 0.003049461 0.003084069 0.006813986
75657056928923648 587728948510392519 0 0.0886403 0.1922149 0.1414299 0.1025768 0.07778087 0.0551476 1.501781 0.7558975 0.3863373 0.2775707 0.04332024 0.006382593 0.004921629 0.004987502 0.01249661
76221192314290176 587728948511637763 0 0.0690735 0.168924 0.1242927 0.0901474 0.06835604 0.04846529 1.799622 0.8636665 0.4100971 0.259716 0.1012071 0.01135703 0.007276762 0.007250352 0.0192813
76502555571519488 587728948512489610 0 0.0707612 0.1831346 0.1347487 0.09773102 0.07410648 0.05254241 1.673063 0.8707809 0.416625 0.3240652 0.04419458 0.005460475 0.004065341 0.004083806 0.009035285
76784279257874432 587728948513407176 0 0.0646031 0.32498 0.2391172 0.1734277 0.131505 0.09323869 1.186911 0.4566002 0.3139057 0.1426773 0.06720874 0.01007015 0.009437005 0.01066692 0.03464895
77628571023048704 587728948515831943 0 0.128571 0.1905367 0.1401951 0.1016812 0.07710175 0.0546661 1.404549 0.7119637 0.3564205 0.2933235 0.08163158 0.01030521 0.008580581 0.009240058 0.02557327
77628570456817664 587728948516225155 0 0.0946238 0.2551176 0.1877131 0.1361452 0.1032348 0.07319475 1.783127 0.8633175 0.4868069 0.3212528 0.1609772 0.01354393 0.009344975 0.009270512 0.02575869
75375474154405888 587728948778303622 0 0.0654104 0.2370971 0.1744538 0.1265285 0.09594271 0.06802458 1.82799 0.8554916 0.4213562 0.2774639 0.07715996 0.007512916 0.005452696 0.005447431 0.01337145
75939721611575296 587728949047853170 0 0.14126 0.1641885 0.1208083 0.08762029 0.06643981 0.04710666 1.990654 1.044508 0.439415 0.3099785 0.1992946 0.01937729 0.009866886 0.01007894 0.02601977
75939721649324032 587728949047787782 0 0.134591 0.1747095 0.1285496 0.09323487 0.07069718 0.05012518 2.208801 1.060589 0.6058788 0.3710651 0.2616149 0.0140581 0.008719419 0.007953459 0.02304709
76784281006899200 587728949050474640 0 0.0985543 0.309904 0.2280244 0.1653823 0.1254044 0.0889133 1.971586 0.9328175 0.4266129 0.3760891 0.1323973 0.01080025 0.008203915 0.008211669 0.01873917
77065824703086592 587728949051326550 0 0.0646545 0.3742146 0.2753436 0.1997021 0.1514281 0.1073644 1.540766 0.6999378 0.4111099 0.2269115 0.05251709 0.006778144 0.005360545 0.005317515 0.0141765
