uberColorU uberColorG uberColorR uberColorI
1.804981 1.061403 0.5090675 0.4188862
1.247118 0.7442646 0.3974915 0.2621431
0.5885162 0.6434917 -0.2291737 0.1715679
1.749491 0.9846516 0.457962 0.2555199
1.793972 1.147392 0.4759312 0.3509617
1.981758 1.046143 0.4273052 0.3640728
1.711191 0.9564724 0.4430904 0.3291359
1.448145 0.8627758 0.4876556 0.3044815
0.946312 0.3524418 0.2734241 0.09265137
2.452045 1.074661 0.3659744 0.322176
1.713863 0.9343338 0.4078865 0.3347931
1.209305 0.4998989 0.3485889 0.141386
1.952671 1.039577 0.4395504 0.365531
1.505081 0.791584 0.4253502 0.2773466
2.654485 0.5303545 -0.2697783 0.5474854
1.975548 0.9805622 0.4645882 0.3761806
1.700928 0.833786 0.442318 0.3763313
1.045012 0.7432156 0.4187717 0.2681713
1.30715 0.680212 0.4309425 0.2714329
2.037212 0.8854141 0.440937 0.2501831
1.857773 0.8409271 0.4013443 0.3218794
1.971121 0.9515572 0.4090767 0.3506985
2.006264 1.15358 0.4791107 0.3682613
2.730059 1.315285 0.492239 0.3264809
1.536936 0.6961699 0.3539228 0.2568407
1.751539 0.891716 0.3961697 0.2929897
1.534317 0.8366261 0.4182243 0.2856293
1.831394 0.8797264 0.385006 0.2817402
1.684504 0.9374619 0.4723473 0.3397522
1.5896 0.7584686 0.516161 0.2940445
1.95426 1.163832 0.4786091 0.2981358
1.939207 1.220871 0.4380531 0.301281
1.953852 0.9708481 0.4260883 0.372963
2.084948 1.262951 0.4585419 0.2994423
1.23806 0.8775711 0.405468 0.2428799
1.888052 1.12604 0.4703274 0.3211212
1.828472 0.8920326 0.4189835 0.2879944
1.643976 0.7964096 0.4520149 0.3233814
1.800924 0.8132591 0.3588572 0.2733679
1.268803 0.7659893 0.4384708 0.2933083
1.995571 1.056599 0.4574795 0.3504848
1.834505 1.026575 0.4364433 0.3394623
1.519283 0.7641659 0.3840618 0.3027372
2.122494 1.362326 0.4673615 0.3754406
1.519836 0.8990326 0.4310627 0.2803612
1.444563 0.7848511 0.4021816 0.2778511
1.065763 0.5012112 0.3415775 0.1819134
1.794767 0.86973 0.3756161 0.3113317
1.452177 0.7758331 0.4141655 0.286274
0.9276752 0.3633537 0.1767788 0.1734867
1.931364 1.079838 0.4405842 0.3697586
1.442955 0.7336826 0.3772354 0.3085232
1.868748 1.040331 0.3843365 0.3477707
1.85858 0.8300323 0.3868122 0.3082457
1.745113 0.9340401 0.4785461 0.4052029
1.274712 0.6226654 0.4100399 0.2628384
1.520523 0.7193928 0.3695145 0.3442802
1.90473 0.8614769 0.4059944 0.2857714
1.452073 0.711688 0.4043102 0.265358
1.62001 0.7573528 0.3601189 0.296545
1.843636 0.9202662 0.4107475 0.3249903
1.236914 0.61203 0.3582935 0.3212299
1.753008 0.9612103 0.4155579 0.3433704
1.768816 0.9537792 0.4003582 0.3251438
1.745113 0.8625984 0.3441696 0.2849121
1.703707 0.9646549 0.3964558 0.3215618
1.301573 0.5394173 0.2769032 0.1886215
1.959745 1.042643 0.4543743 0.3325434
1.565445 0.8681717 0.4554806 0.3431625
1.689741 0.9181175 0.4561138 0.3187599
1.823576 0.8973808 0.4097595 0.3163815
1.760328 0.7942791 0.3985519 0.3060846
1.912222 0.8829174 0.4236069 0.3143053
1.588823 0.6374283 0.2866869 0.2666683
0.9442253 0.3283577 0.1847115 -0.05772495
1.46489 0.8363247 0.3798199 0.3294487
2.115227 1.101664 0.4089527 0.3799877
2.057091 0.9587154 0.4143524 0.3283081
1.91087 1.011503 0.4465904 0.3716373
1.458403 0.7697659 0.4357319 0.2584572
1.121855 0.5162373 0.307457 0.178545
1.869219 0.9572449 0.5261002 0.393261
1.538687 0.8759365 0.4336796 0.388979
1.374863 0.6203785 0.3889885 0.2633209
1.25857 0.6145935 0.3752823 0.2121105
1.703205 0.814909 0.4288149 0.3258572
1.923923 1.043846 0.4184303 0.4137106
1.862192 0.8436451 0.399065 0.3578386
1.795744 1.117548 0.4989719 0.3754425
1.687363 1.206326 0.4865875 0.3388195
1.366468 0.6823673 0.4008465 0.2421551
1.887924 1.16503 0.4937286 0.2698345
1.751244 1.024157 0.4083748 0.3575802
1.870024 0.9924698 0.3930283 0.3296051
1.140919 0.5510654 0.361187 0.1990433
1.036203 0.4246292 0.316 0.1160221
2.036161 1.277811 0.4563217 0.3400936
1.191778 0.5462799 0.3201752 0.1699219
1.237709 0.5370922 0.3428783 0.2420692
1.607996 0.7736263 0.3592529 0.4719658
1.289793 0.8463898 0.4158363 0.3047504
0.8593388 0.1844788 0.2741432 0.08430004
1.538807 0.9259033 0.4115067 0.2784805
1.721724 1.002907 0.4274845 0.3366108
1.424837 0.7413387 0.4105396 0.3177261
1.519203 0.6900673 0.4118519 0.2429237
1.627119 0.8129845 0.3764286 0.2766352
1.341984 0.6952267 0.4041557 0.2105923
1.61413 0.7988911 0.4418011 0.2984209
1.87188 0.863369 0.4011021 0.2878485
1.285713 0.6537857 0.3580284 0.1957798
1.370615 0.6225739 0.3488541 0.1575432
1.928934 1.032743 0.4371128 0.295866
1.257544 0.5811768 0.3447533 0.2000027
1.781582 0.7390308 0.3634548 0.2552376
1.883751 0.8730145 0.4212151 0.2873993
1.144972 0.6555824 0.3565063 0.2524376
1.735395 0.8327732 0.3752003 0.2894382
1.170454 0.5610046 0.3495712 0.2044544
0.9234009 0.5552807 0.3144455 0.1934414
1.641424 1.294674 0.4607487 0.3758812
1.958225 1.31391 0.4962978 0.3109016
1.599564 0.8786964 0.3866358 0.2989483
1.38295 0.6354847 0.3688507 0.2483463
1.851854 0.8769188 0.3972588 0.3310337
1.152021 0.4439297 0.2760639 0.1250496
1.633801 0.7467098 0.4171638 0.3072948
1.663752 0.8386412 0.4080477 0.3596296
1.682669 0.7804794 0.3542452 0.26863
2.429779 1.305435 0.4985542 0.3484459
2.185223 1.072144 0.4678116 0.3666286
1.13456 0.5575695 0.3448429 0.1342506
0.9985332 0.4019604 0.3180752 0.1509647
2.054327 1.144415 0.4339008 0.3900223
1.822294 0.8574181 0.4274292 0.3234539
0.9871712 0.3430939 0.2875061 0.03720093
1.978388 1.232992 0.4544544 0.3146381
1.468216 1.047379 0.4336815 0.2916203
1.140919 0.4453506 0.2648468 0.1276188
1.976414 0.9754677 0.4225464 0.317111
1.193985 0.537899 0.3482552 0.1490154
2.023619 0.8468552 0.390152 0.2597599
1.438845 0.8228741 0.4369812 0.2543344
1.200535 0.4849052 0.2338781 0.1592684
0.9121876 0.3705587 0.1952009 0.1507425
1.52441 0.7268486 0.3698616 0.2522602
0.9832954 0.3906288 0.2116032 0.1599693
1.10211 0.5832481 0.3150063 0.1980419
1.931307 1.004576 0.3989773 0.3760681
1.5996 0.9244003 0.4560432 0.3165321
1.798729 1.000822 0.4152012 0.3195515
1.763025 0.8859615 0.4118004 0.2830343
1.580059 0.6692543 0.3385944 0.219883
1.710632 1.19516 0.5005875 0.4200096
2.059227 1.078915 0.4569111 0.298584
1.20442 0.4746952 0.3547287 0.1871891
