SpecObjID ObjID Red zSpec extinctionU extinctionG extinctionR extinctionI extinctionZ uberColorU uberColorG uberColorR uberColorI ModelMagErr_U ModelMagErr_G ModelMagErr_R ModelMagErr_I ModelMagErr_Z
75094093851525120 587725073921212542 0 0.0985054 0.2550578 0.1876691 0.1361133 0.1032106 0.07317759 1.804981 1.061403 0.5090675 0.4188862 0.1109323 0.01014038 0.007157326 0.005799019 0.01107802
75094094405173248 587725075531628673 0 0.0834123 0.6593501 0.4851435 0.3518666 0.2668098 0.1891714 1.247118 0.7442646 0.3974915 0.2621431 0.05700998 0.007984495 0.005733476 0.005891107 0.01263941
75094095298560000 587725075532218452 0 0.00590214 0.9374397 0.6897593 0.500271 0.3793403 0.268957 0.5885162 0.6434917 -0.2291737 0.1715679 0.09601095 0.02478337 0.01727828 0.0281999 0.06446176
75094094581334016 587725075531759650 0 0.155819 0.5926454 0.4360629 0.3162692 0.2398173 0.1700335 1.749491 0.9846516 0.457962 0.2555199 0.1088962 0.01085609 0.006687226 0.006575705 0.01388279
75939720491696128 587728947974504632 0 0.188369 0.1905248 0.1401863 0.1016748 0.07709693 0.05466269 1.793972 1.147392 0.4759312 0.3509617 0.1555005 0.01232427 0.007196728 0.006362429 0.01589426
76502554501971968 587728947976011946 0 0.126931 0.2481643 0.1825969 0.1324345 0.1004211 0.0711998 1.981758 1.046143 0.4273052 0.3640728 0.1256331 0.008835325 0.005587407 0.00511044 0.01197724
76784278637117440 587728947976798362 0 0.110548 0.2747436 0.2021537 0.1466187 0.1111766 0.07882556 1.711191 0.9564724 0.4430904 0.3291359 0.08553068 0.008158578 0.005557086 0.005076695 0.01167558
76502555080785920 587728947975815374 0 0.170102 0.2760842 0.2031401 0.1473341 0.111719 0.07921018 1.448145 0.8627758 0.4876556 0.3044815 0.114662 0.01203523 0.008402955 0.007472564 0.02043734
76784278981050368 587728947976536227 0 0.0784798 0.3039408 0.2236368 0.1622 0.1229914 0.08720242 0.946312 0.3524418 0.2734241 0.09265137 0.05354228 0.008702322 0.008608786 0.009120259 0.03146352
77065822484299776 587728947977519235 0 0.114926 0.3414207 0.2512141 0.1822014 0.1381578 0.0979556 2.452045 1.074661 0.3659744 0.322176 0.2953441 0.01312671 0.007603331 0.007157189 0.01819743
77347109338087424 587728947977978015 0 0.0963649 0.3181928 0.2341232 0.1698057 0.1287585 0.09129138 1.713863 0.9343338 0.4078865 0.3347931 0.1152345 0.01011495 0.006803151 0.006381088 0.0153608
75657056786317312 587728948510458205 0 0.0810781 0.1655674 0.1218229 0.08835614 0.06699779 0.04750227 1.209305 0.4998989 0.3485889 0.141386 0.0733031 0.01032228 0.009602956 0.01049623 0.0341105
75939721087287296 587728948511310006 0 0.122235 0.2426965 0.1785738 0.1295166 0.09820853 0.06963107 1.952671 1.039577 0.4395504 0.365531 0.1102412 0.008943132 0.005623345 0.005544017 0.01328477
76502555084980224 587728948512751814 0 0.0930609 0.2844655 0.209307 0.1518069 0.1151106 0.08161482 1.505081 0.791584 0.4253502 0.2773466 0.05734536 0.00791039 0.00560066 0.006267325 0.01524492
77628571446673408 587728948515373074 0 0.0187552 0.232837 0.1713192 0.124255 0.0942188 0.0668023 2.654485 0.5303545 -0.2697783 0.5474854 0.06224605 0.003719644 0.003321828 0.005023204 0.01096757
77628571304067072 587728948515569804 0 0.148445 0.2223847 0.1636285 0.1186771 0.08998923 0.06380349 1.975548 0.9805622 0.4645882 0.3761806 0.159145 0.02774255 0.007964124 0.008141065 0.01946
75657057864253440 587728949047459985 0 0.0472555 0.1424604 0.104821 0.07602495 0.05764741 0.04087274 1.700928 0.833786 0.442318 0.3763313 0.04825415 0.007076724 0.004600853 0.004593634 0.0117304
75657056534659072 587728949047460065 0 0.171658 0.1372825 0.1010112 0.07326172 0.05555214 0.03938716 1.045012 0.7432156 0.4187717 0.2681713 0.0785256 0.01196733 0.009920607 0.01067341 0.03246023
75657058489204736 587728949047722125 0 0.0920643 0.1555519 0.1144536 0.08301128 0.06294494 0.04462875 1.30715 0.680212 0.4309425 0.2714329 0.04388644 0.006830277 0.005622682 0.005597205 0.01487272
75939723167662080 587728949048443062 0 0.0938634 0.1587687 0.1168205 0.08472796 0.06424665 0.04555167 2.037212 0.8854141 0.440937 0.2501831 0.1971318 0.0156598 0.00960381 0.01020676 0.03025843
76221193673244672 587728949049163989 0 0.063524 0.1591162 0.1170762 0.08491343 0.06438728 0.04565138 1.857773 0.8409271 0.4013443 0.3218794 0.03291577 0.004303803 0.003475791 0.003490728 0.007073521
76784281245974528 587728949050736726 0 0.107335 0.3146982 0.231552 0.1679408 0.1273444 0.09028879 1.971121 0.9515572 0.4090767 0.3506985 0.137557 0.00993485 0.007286493 0.007633982 0.0186891
77347109556191232 587728949051326620 0 0.152611 0.3712136 0.2731355 0.1981006 0.1502137 0.1065034 2.006264 1.15358 0.4791107 0.3682613 0.2277718 0.01601701 0.008544018 0.008424453 0.02252517
75375475966345216 587728949583872164 0 0.213807 0.1527014 0.1123563 0.08149013 0.0617915 0.04381094 2.730059 1.315285 0.492239 0.3264809 0.4008708 0.01632727 0.008937902 0.00918101 0.02012637
75939721934536704 587728949584658573 0 0.0442353 0.1432392 0.1053941 0.07644056 0.05796256 0.04109618 1.536936 0.6961699 0.3539228 0.2568407 0.01988344 0.00449199 0.004063744 0.004345839 0.006697801
75939722802757632 587728949585248390 0 0.0808722 0.18067 0.1329352 0.09641573 0.07310913 0.05183528 1.751539 0.891716 0.3961697 0.2929897 0.05537563 0.006743249 0.004878568 0.005111815 0.01056499
75939722823729152 587728949585182882 0 0.0965443 0.182362 0.1341802 0.09731869 0.07379382 0.05232074 1.534317 0.8366261 0.4182243 0.2856293 0.08590461 0.009646588 0.008386347 0.007787034 0.01862133
76502556603318272 587728949586493638 0 0.0706735 0.2293133 0.1687265 0.1223746 0.09279293 0.06579134 1.831394 0.8797264 0.385006 0.2817402 0.06440757 0.0073048 0.005525609 0.005518491 0.01267998
76784280704909312 587728949587279961 0 0.0968479 0.266235 0.1958932 0.1420781 0.1077335 0.0763844 1.684504 0.9374619 0.4723473 0.3397522 0.07238998 0.01050331 0.005862754 0.006012613 0.01239678
77065823872614400 587728949587673371 0 0.0964209 0.3503731 0.2578012 0.1869789 0.1417805 0.1005241 1.5896 0.7584686 0.516161 0.2940445 0.1585316 0.01596981 0.01199111 0.01246494 0.03067397
77065824384319488 587728949588066451 0 0.187966 0.336454 0.2475596 0.1795509 0.136148 0.09653064 1.95426 1.163832 0.4786091 0.2981358 0.1920987 0.01410262 0.007583499 0.008064112 0.0191515
77347109895929856 587728949588656286 0 0.187752 0.33342 0.2453273 0.1779318 0.1349203 0.09566018 1.939207 1.220871 0.4380531 0.301281 0.1712065 0.01408732 0.008072385 0.008653765 0.01751931
77628572373614592 587728949589508186 0 0.0943939 0.2175551 0.160075 0.1160997 0.08803492 0.06241785 1.953852 0.9708481 0.4260883 0.372963 0.07868272 0.007380245 0.004989153 0.005271011 0.01030307
75939722190389248 587728950121595010 0 0.205685 0.1395875 0.1027071 0.07449178 0.05648486 0.04004847 2.084948 1.262951 0.4585419 0.2994423 0.265061 0.01601732 0.008432182 0.008726733 0.02213371
76221193698410496 587728950122840212 0 0.205365 0.1998607 0.1470556 0.106657 0.08087478 0.05734122 1.23806 0.8775711 0.405468 0.2428799 0.07833041 0.01161054 0.008152806 0.008705744 0.02263434
